Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Comp,Unnamed: 6_level_0_Age,Unnamed: 7_level_0_Born,Unnamed: 8_level_0_90s,Total_Cmp,Total_Att,Total_CmpPct,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_CmpPct,Medium_Cmp,Medium_Att,Medium_CmpPct,Long_Cmp,Long_Att,Long_CmpPct,Unnamed: 23_level_0_Ast,Unnamed: 24_level_0_xAG,Expected_xA,Expected_A-xAG,Unnamed: 27_level_0_KP,Unnamed: 28_level_0_1_3,Unnamed: 29_level_0_PPA,Unnamed: 30_level_0_CrsPA,Unnamed: 31_level_0_PrgP,Unnamed: 32_level_0_Matches
42,Jeremy Agbonifo,se SWE,"FW,MF",Lens,fr Ligue 1,19-136,2005,1.6,21,29,72.4,265,33,13,15,86.7,7,8,87.5,0,2,0.0,0,0.1,0.1,-0.1,1,1,1,1,2,Matches
43,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,24-073,2000,13.4,281,411,68.4,7681,5777,46,46,100.0,165,165,100.0,70,196,35.7,0,0.0,0.0,0.0,0,1,0,0,0,Matches
44,Lucien Agoume,fr FRA,MF,Sevilla,es La Liga,23-028,2002,12.8,553,678,81.6,8543,2439,302,335,90.1,194,232,83.6,42,71,59.2,0,0.6,0.4,-0.6,8,52,4,0,56,Matches
45,Felix Agu,de GER,DF,Werder Bremen,de Bundesliga,25-163,1999,11.0,366,463,79.0,5651,1742,190,221,86.0,143,174,82.2,19,33,57.6,0,0.9,1.1,-0.9,11,11,14,8,19,Matches
46,Álvaro Aguado,es ESP,MF,Espanyol,es La Liga,28-312,1996,4.5,158,205,77.1,3028,942,53,69,76.8,82,97,84.5,21,30,70.0,0,0.0,0.2,0.0,2,22,7,3,25,Matches
47,Lorenzo Aguado,es ESP,DF,Real Madrid,es La Liga,22-171,2002,0.1,1,1,100.0,34,0,0,0,,0,0,,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
48,Nayef Aguerd,ma MAR,DF,Real Sociedad,es La Liga,28-344,1996,17.6,1045,1197,87.3,20104,7395,401,423,94.8,512,550,93.1,121,193,62.7,0,0.1,0.2,-0.1,5,77,3,1,70,Matches
49,Ruben Aguilar,fr FRA,DF,Lens,fr Ligue 1,31-317,1993,6.8,365,452,80.8,5106,2155,237,268,88.4,91,122,74.6,21,28,75.0,1,0.7,0.7,+0.3,3,18,9,2,30,Matches
50,Naouirou Ahamada,fr FRA,"MF,FW",Rennes,fr Ligue 1,22-345,2002,0.6,17,22,77.3,266,33,8,11,72.7,9,9,100.0,0,2,0.0,0,0.0,0.0,0.0,0,2,0,0,1,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
51,Honest Ahanor,it ITA,DF,Genoa,it Serie A,17-014,2008,0.9,12,17,70.6,275,122,3,5,60.0,7,7,100.0,2,4,50.0,0,0.0,0.0,0.0,0,0,0,0,2,Matches
52,Erik Ahlstrand,se SWE,"FW,MF",St. Pauli,de Bundesliga,23-146,2001,0.5,10,13,76.9,125,21,7,7,100.0,2,4,50.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,1,Matches
53,Jean-Eudes Aholou,ci CIV,MF,Angers,fr Ligue 1,30-354,1994,18.5,570,668,85.3,8980,2351,281,315,89.2,258,286,90.2,16,36,44.4,0,0.4,0.5,-0.4,8,40,5,0,62,Matches
54,Joseph Aidoo,gh GHA,DF,Valladolid,es La Liga,29-161,1995,2.7,138,163,84.7,2715,1065,41,44,93.2,84,89,94.4,12,28,42.9,0,0.0,0.0,0.0,0,7,1,0,3,Matches
55,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,29-161,1995,0.0,6,7,85.7,126,81,1,1,100.0,5,5,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,1,Matches
56,Ayman Aiki,fr FRA,"FW,MF",Saint-Étienne,fr Ligue 1,19-257,2005,1.4,17,29,58.6,234,93,12,17,70.6,4,7,57.1,1,3,33.3,0,0.0,0.0,0.0,1,2,1,0,5,Matches
57,Ola Aina,ng NGA,DF,Nott'ham Forest,eng Premier League,28-152,1996,27.1,801,1098,73.0,12418,5203,427,487,87.7,292,403,72.5,51,139,36.7,1,0.7,1.4,+0.3,11,73,15,7,89,Matches
58,Rayan Aït-Nouri,dz ALG,DF,Wolves,eng Premier League,23-276,2001,25.6,1053,1248,84.4,14668,4230,645,688,93.8,330,381,86.6,32,82,39.0,5,2.6,1.8,+2.4,24,58,22,5,88,Matches
59,Junior Ajayi,ci CIV,FW,Hellas Verona,it Serie A,20-149,2004,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
60,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,26-326,1998,12.6,415,526,78.9,6567,2365,216,249,86.7,165,205,80.5,23,45,51.1,0,1.0,0.4,-1.0,5,37,5,4,45,Matches
61,Ludovic Ajorque,fr FRA,FW,Brest,fr Ligue 1,31-012,1994,18.5,309,452,68.4,4548,692,179,246,72.8,92,127,72.4,22,30,73.3,1,2.4,1.5,-1.4,27,26,9,0,32,Matches
62,Manuel Akanji,ch SUI,DF,Manchester City,eng Premier League,29-233,1995,19.0,1389,1479,93.9,22799,6245,666,694,96.0,641,671,95.5,68,92,73.9,0,0.4,1.1,-0.4,9,149,11,2,135,Matches
63,Ümit Akdag,ro ROU,DF,Toulouse,fr Ligue 1,21-154,2003,4.8,231,293,78.8,3952,1494,100,122,82.0,120,132,90.9,10,29,34.5,0,0.1,0.1,-0.1,2,12,1,0,26,Matches
64,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,30-019,1995,7.5,509,542,93.9,8321,2950,248,253,98.0,237,244,97.1,20,34,58.8,0,0.0,0.2,0.0,1,42,1,0,50,Matches
65,Ilias Akhomach,ma MAR,"MF,FW",Villarreal,es La Liga,20-327,2004,6.5,136,185,73.5,2161,534,76,88,86.4,46,63,73.0,8,14,57.1,0,1.0,1.7,-1.0,9,5,8,2,12,Matches
66,Sergio Akieme,es ESP,DF,Reims,fr Ligue 1,27-083,1997,18.6,627,770,81.4,8916,2549,376,404,93.1,219,267,82.0,18,63,28.6,1,1.2,1.5,-0.2,11,28,15,8,63,Matches
67,Maghnes Akliouche,fr FRA,"FW,MF",Monaco,fr Ligue 1,23-012,2002,18.9,732,902,81.2,10089,3098,449,498,90.2,223,277,80.5,31,52,59.6,6,5.4,6.3,+0.6,34,63,48,2,133,Matches
68,Clément Akpa,ci CIV,DF,Auxerre,fr Ligue 1,23-105,2001,19.6,672,835,80.5,13559,5156,233,266,87.6,341,382,89.3,91,163,55.8,1,0.9,0.9,+0.1,8,50,10,5,57,Matches
69,Jean-Daniel Akpa-Akpro,ci CIV,"MF,DF",Monza,it Serie A,32-149,1992,2.5,64,87,73.6,978,393,35,40,87.5,21,28,75.0,5,7,71.4,0,0.1,0.0,-0.1,2,2,2,1,4,Matches
70,David Akpan Ankeye,ng NGA,"FW,MF",Genoa,it Serie A,23-023,2002,0.5,6,7,85.7,53,28,3,4,75.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,1,0,1,Matches
71,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,29-324,1995,17.9,927,1051,88.2,16755,6213,363,381,95.3,463,502,92.2,77,129,59.7,0,0.3,0.5,-0.3,6,85,8,0,72,Matches
72,Chuba Akpom,eng ENG,FW,Lille,fr Ligue 1,29-151,1995,3.2,33,45,73.3,404,65,19,23,82.6,6,7,85.7,2,3,66.7,0,0.3,0.3,-0.3,3,1,1,0,2,Matches
73,David Alaba,at AUT,DF,Real Madrid,es La Liga,32-258,1992,1.9,104,114,91.2,1739,681,48,48,100.0,49,49,100.0,5,13,38.5,0,0.0,0.0,0.0,0,6,0,0,5,Matches
74,Andreas Albers,dk DEN,FW,St. Pauli,de Bundesliga,34-351,1990,0.7,15,29,51.7,233,47,10,18,55.6,4,6,66.7,1,2,50.0,0,0.1,0.1,-0.1,2,1,0,0,3,Matches
75,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,39-186,1985,13.2,727,813,89.4,14582,6006,213,225,94.7,433,463,93.5,76,115,66.1,0,0.0,0.1,0.0,0,26,1,0,34,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
76,Carlos Alcaraz,ar ARG,MF,Southampton,eng Premier League,22-099,2002,0.1,13,13,100.0,221,66,7,7,100.0,4,4,100.0,2,2,100.0,0,0.1,0.0,-0.1,1,4,1,1,6,Matches
77,Carlos Alcaraz,ar ARG,"MF,FW",Everton,eng Premier League,22-099,2002,2.5,69,86,80.2,1148,274,31,34,91.2,32,35,91.4,4,7,57.1,1,1.0,0.2,0.0,7,5,8,0,12,Matches
78,Omar Alderete,py PAR,DF,Getafe,es La Liga,28-073,1996,22.7,525,786,66.8,12391,5706,133,166,80.1,269,340,79.1,120,247,48.6,0,0.9,0.8,-0.9,10,93,10,1,81,Matches
79,Carles Aleñá,es ESP,"MF,FW",Getafe,es La Liga,27-063,1998,5.0,93,117,79.5,1504,299,45,55,81.8,38,44,86.4,6,11,54.5,0,0.1,0.1,-0.1,3,9,3,1,12,Matches
80,Carles Aleñá,es ESP,"MF,FW",Alavés,es La Liga,27-063,1998,4.0,125,171,73.1,2100,594,66,72,91.7,44,59,74.6,12,22,54.5,2,0.6,0.5,+1.4,8,15,5,2,27,Matches
81,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,26-153,1998,23.8,1321,1787,73.9,25377,10446,578,642,90.0,535,704,76.0,185,367,50.4,6,6.7,6.7,-0.7,50,187,62,20,204,Matches
82,Alfon,es ESP,"FW,MF",Celta Vigo,es La Liga,25-309,1999,7.6,128,179,71.5,1842,266,77,88,87.5,36,54,66.7,7,13,53.8,2,2.0,1.4,0.0,12,5,3,1,13,Matches
83,Mohamed Ali Cho,fr FRA,"FW,MF",Nice,fr Ligue 1,21-049,2004,15.1,287,401,71.6,4085,1050,178,211,84.4,89,121,73.6,12,30,40.0,4,3.1,2.9,+0.9,25,18,28,4,49,Matches
84,Faride Alidou,de GER,"FW,MF",Hellas Verona,it Serie A,23-234,2001,0.8,16,20,80.0,198,42,7,7,100.0,4,6,66.7,1,2,50.0,0,0.0,0.0,0.0,1,0,1,1,1,Matches
85,Alisson,br BRA,GK,Liverpool,eng Premier League,32-158,1992,20.9,538,645,83.4,11965,7825,163,165,98.8,281,285,98.6,93,191,48.7,0,0.6,0.2,-0.6,1,10,0,0,0,Matches
86,Tadeo Allende,ar ARG,FW,Celta Vigo,es La Liga,26-017,1999,0.0,1,3,33.3,7,1,1,2,50.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
87,Jim Allevinah,ga GAB,FW,Angers,fr Ligue 1,30-010,1995,14.0,259,348,74.4,3726,887,155,184,84.2,83,115,72.2,13,21,61.9,3,2.3,1.5,+0.7,12,21,10,2,37,Matches
88,Thiago Almada,ar ARG,"MF,FW",Lyon,fr Ligue 1,23-317,2001,2.1,151,171,88.3,2477,775,84,91,92.3,55,59,93.2,10,19,52.6,0,0.1,0.3,-0.1,2,20,5,1,29,Matches
89,Domingos André Ribeiro Almeida,pt POR,"MF,FW",Valencia,es La Liga,24-283,2000,14.7,520,620,83.9,8336,2117,268,288,93.1,186,215,86.5,44,74,59.5,1,1.8,3.2,-0.8,26,63,13,3,93,Matches
90,Iker Almena,es ESP,"FW,DF",Girona,es La Liga,20-309,2004,0.5,23,32,71.9,328,34,13,14,92.9,10,14,71.4,0,1,0.0,1,0.7,0.4,+0.3,2,0,0,0,2,Matches
91,Miguel Almirón,py PAR,FW,Newcastle Utd,eng Premier League,31-027,1994,1.7,54,66,81.8,707,219,39,42,92.9,13,16,81.3,1,3,33.3,0,0.3,0.2,-0.3,3,3,1,0,6,Matches
92,Pontus Almqvist,se SWE,"FW,MF",Parma,it Serie A,25-242,1999,10.3,195,264,73.9,2498,480,139,168,82.7,41,54,75.9,6,11,54.5,1,1.3,0.9,-0.3,9,4,4,1,12,Matches
93,Marcos Alonso,es ESP,DF,Celta Vigo,es La Liga,34-071,1990,20.0,1404,1591,88.2,25203,9380,577,617,93.5,688,729,94.4,117,195,60.0,0,0.6,0.8,-0.6,11,141,11,3,138,Matches
94,Giorgio Altare,it ITA,DF,Venezia,it Serie A,26-212,1998,8.4,283,389,72.8,5113,1998,105,129,81.4,158,198,79.8,16,49,32.7,0,0.1,0.2,-0.1,1,15,2,1,20,Matches
95,Adrià Altimira,es ESP,"DF,FW",Leganés,es La Liga,23-346,2001,12.0,326,410,79.5,5253,1496,179,204,87.7,118,148,79.7,25,43,58.1,0,0.0,0.2,0.0,2,27,5,0,31,Matches
96,Sergi Altimira,es ESP,MF,Betis,es La Liga,23-196,2001,16.4,794,903,87.9,12762,2936,395,432,91.4,315,340,92.6,55,73,75.3,1,1.5,0.8,-0.5,18,71,8,0,74,Matches
97,Edson Álvarez,mx MEX,MF,West Ham,eng Premier League,27-136,1997,16.3,681,789,86.3,11617,3339,332,371,89.5,288,321,89.7,56,76,73.7,1,0.8,0.8,+0.2,11,72,10,3,67,Matches
98,Hugo Álvarez,es ESP,"MF,DF",Celta Vigo,es La Liga,21-250,2003,15.4,698,887,78.7,10624,2875,376,432,87.0,278,335,83.0,27,52,51.9,2,0.8,1.6,+1.2,15,29,13,3,48,Matches
99,Julián Álvarez,ar ARG,"FW,MF",Atlético Madrid,es La Liga,25-037,2000,18.9,471,633,74.4,6671,1522,275,333,82.6,140,174,80.5,26,57,45.6,2,2.9,3.0,-0.9,24,26,22,3,54,Matches
100,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,30-044,1995,13.8,675,805,83.9,13673,4748,201,224,89.7,402,434,92.6,71,133,53.4,0,0.2,0.3,-0.2,3,55,3,2,85,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
101,Skelly Alvero,fr FRA,MF,Werder Bremen,de Bundesliga,22-309,2002,2.6,68,91,74.7,1077,220,34,41,82.9,30,38,78.9,3,5,60.0,0,0.0,0.1,0.0,0,3,3,0,8,Matches
102,Will Alves,eng ENG,FW,Leicester City,eng Premier League,20-034,2005,0.0,1,1,100.0,12,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
103,Selim Amallah,ma MAR,MF,Valladolid,es La Liga,28-114,1996,11.6,240,310,77.4,4048,1217,136,147,92.5,64,81,79.0,33,58,56.9,1,0.6,1.0,+0.4,9,33,6,0,38,Matches
104,Amath,sn SEN,"FW,DF",Valladolid,es La Liga,28-236,1996,3.5,63,83,75.9,981,248,36,40,90.0,18,22,81.8,6,11,54.5,1,0.2,0.1,+0.8,4,4,3,1,11,Matches
105,Jordan Amavi,fr FRA,DF,Brest,fr Ligue 1,31-000,1994,8.8,386,526,73.4,6269,2275,182,214,85.0,175,237,73.8,21,50,42.0,0,0.2,0.4,-0.2,6,28,6,1,36,Matches
106,Aurele Amenda,ch SUI,DF,Eint Frankfurt,de Bundesliga,21-221,2003,0.8,41,47,87.2,824,286,12,13,92.3,22,23,95.7,6,8,75.0,0,0.3,0.3,-0.3,1,0,0,0,1,Matches
107,Kelvin Amian,fr FRA,DF,Nantes,fr Ligue 1,27-029,1998,16.4,466,580,80.3,7340,3161,245,267,91.8,172,212,81.1,33,66,50.0,0,0.5,1.2,-0.5,9,37,14,6,45,Matches
108,Michael Amir Murillo,pa PAN,DF,Marseille,fr Ligue 1,29-026,1996,20.1,1269,1433,88.6,20005,6128,617,651,94.8,590,664,88.9,41,66,62.1,2,2.5,2.3,-0.5,21,114,16,4,110,Matches
109,Nadiem Amiri,de GER,MF,Mainz 05,de Bundesliga,28-133,1996,19.5,964,1260,76.5,17339,6728,433,486,89.1,391,463,84.4,117,241,48.5,3,5.1,6.8,-2.1,44,132,36,7,142,Matches
110,Samuel Amo-Ameyaw,eng ENG,"FW,DF",Southampton,eng Premier League,18-234,2006,0.3,8,9,88.9,107,13,6,6,100.0,2,3,66.7,0,0,,0,0.1,0.1,-0.1,1,0,1,1,0,Matches
111,Mathis Amougou,fr FRA,MF,Chelsea,eng Premier League,19-050,2006,0.1,7,7,100.0,69,30,6,6,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,2,0,0,1,Matches
112,Mathis Amougou,fr FRA,MF,Saint-Étienne,fr Ligue 1,19-050,2006,9.5,232,301,77.1,3514,1194,126,146,86.3,82,107,76.6,14,25,56.0,0,0.4,0.3,-0.4,7,23,4,0,36,Matches
113,Mohamed Amoura,dz ALG,FW,Wolfsburg,de Bundesliga,24-304,2000,21.0,400,570,70.2,6253,1217,210,284,73.9,123,156,78.8,39,49,79.6,8,3.3,3.0,+4.7,26,25,22,4,46,Matches
114,Sofyan Amrabat,ma MAR,MF,Fiorentina,it Serie A,28-200,1996,2.0,112,133,84.2,2140,528,46,50,92.0,50,59,84.7,13,20,65.0,0,0.1,0.1,-0.1,2,10,0,0,14,Matches
