id,name,position,team,pace,stamina,strength,short_passing,long_passing,vision,finishing,shot_power,dribbling,ball_control,tackling,interceptions,blocking,positioning,reflexes,handling,gk_positioning
93,Marcos Alonso,DF,Celta Vigo,62,78,50,93,60,83,50,50,50,50,60,100,60,100,50,50,50
94,Giorgio Altare,DF,Venezia,72,71,50,81,32,53,50,50,50,50,60,84,60,99,50,50,50
95,Adrià Altimira,AT,Leganés,73,70,50,87,58,56,60,50,60,50,50,70,50,91,50,50,50
96,Sergi Altimira,MD,Betis,79,94,50,91,75,100,50,50,50,50,50,82,50,83,50,50,50
97,Edson Álvarez,MD,West Ham,77,95,50,89,73,83,50,50,50,50,50,80,50,86,50,50,50
98,Hugo Álvarez,MD,Celta Vigo,83,85,50,87,51,95,50,50,50,50,50,64,50,75,50,50,50
99,Julián Álvarez,AT,Atlético Madrid,80,78,50,82,45,100,60,50,60,50,50,50,50,59,50,50,50
100,Yeray Álvarez,DF,Athletic Club,66,70,50,89,53,59,50,50,50,50,60,100,60,100,50,50,50
101,Skelly Alvero,MD,Werder Bremen,69,94,50,82,60,50,50,50,50,50,50,54,50,60,50,50,50
102,Will Alves,AT,Leicester City,72,76,50,100,50,50,60,50,60,50,50,50,50,50,50,50,50
103,Selim Amallah,MD,Valladolid,85,95,50,92,56,77,50,50,50,50,50,64,50,53,50,50,50
104,Amath,AT,Valladolid,78,65,50,90,54,62,60,50,60,50,50,54,50,53,50,50,50
105,Jordan Amavi,DF,Brest,78,86,50,85,42,68,50,50,50,50,60,64,60,68,50,50,50
106,Aurele Amenda,DF,Eint Frankfurt,59,71,50,92,75,53,50,50,50,50,60,60,60,54,50,50,50
107,Kelvin Amian,DF,Nantes,63,86,50,91,50,77,50,50,50,50,60,64,60,100,50,50,50
108,Michael Amir Murillo,DF,Marseille,67,75,50,94,62,100,50,50,50,50,60,74,60,100,50,50,50
109,Nadiem Amiri,MD,Mainz 05,81,80,50,89,48,100,50,50,50,50,50,78,50,72,50,50,50
110,Samuel Amo-Ameyaw,AT,Southampton,69,73,50,100,50,53,60,50,60,50,50,50,50,50,50,50,50
111,Mathis Amougou,MD,Chelsea,75,79,50,100,50,50,50,50,50,50,50,50,50,50,50,50,50
112,Mathis Amougou,MD,Saint-Étienne,68,84,50,86,56,71,50,50,50,50,50,74,50,54,50,50,50
113,Mohamed Amoura,AT,Wolfsburg,69,75,50,73,79,100,60,50,60,50,50,68,50,68,50,50,50
114,Sofyan Amrabat,MD,Fiorentina,80,86,50,92,65,56,50,50,50,50,50,50,50,52,50,50,50
115,Joachim Andersen,DF,Crystal Palace,58,74,50,90,42,50,50,50,50,50,60,60,60,57,50,50,50
116,Joachim Andersen,DF,Fulham,75,74,50,91,57,59,50,50,50,50,60,98,60,100,50,50,50
117,Elliot Anderson,MD,Nott'ham Forest,87,81,50,89,48,100,50,50,50,50,50,92,50,99,50,50,50
118,André,MD,Wolves,68,89,50,95,80,83,50,50,50,50,50,94,50,76,50,50,50
119,Benjamin André,MD,Lille,65,95,50,88,66,89,50,50,50,50,50,100,50,90,50,50,50
120,Marcos André,AT,Valladolid,80,72,50,76,77,77,60,50,60,50,50,56,50,60,50,50,50
121,Robert Andrich,MD,Leverkusen,65,77,50,92,67,71,50,50,50,50,50,92,50,66,50,50,50
122,Angeliño,DF,Roma,72,78,50,89,54,100,50,50,50,50,60,96,60,100,50,50,50
123,Lorenzo Anghelè,AT,Juventus,75,76,50,100,100,50,60,50,60,50,50,50,50,50,50,50,50
124,Faustino Anjorin,MD,Empoli,87,90,50,85,57,98,50,50,50,50,50,72,50,69,50,50,50
125,Waldemar Anton,DF,Dortmund,70,73,50,95,70,62,50,50,50,50,60,74,60,100,50,50,50
126,Leandro Antonetti,AT,Sevilla,81,74,50,100,50,53,60,50,60,50,50,50,50,50,50,50,50
127,Michail Antonio,AT,West Ham,77,68,50,72,71,77,60,50,60,50,50,50,50,52,50,50,50
128,Antoniu,AT,Espanyol,68,78,50,81,20,68,60,50,60,50,50,56,50,54,50,50,50
129,Antony,MD,Manchester Utd,67,88,50,88,100,59,50,50,50,50,50,54,50,50,50,50,50
130,Antony,AT,Betis,88,73,50,85,61,83,60,50,60,50,50,60,50,56,50,50,50
131,Anuar,AT,Valladolid,79,77,50,84,55,65,60,50,60,50,50,70,50,62,50,50,50
132,Dennis Appiah,DF,Saint-Étienne,76,71,50,87,37,80,50,50,50,50,60,86,60,100,50,50,50
133,Aritz Arambarri,DF,Leganés,69,74,50,84,33,50,50,50,50,50,60,60,60,58,50,50,50
134,Mauro Arambarri,MD,Getafe,72,85,50,77,54,74,50,50,50,50,50,66,50,82,50,50,50
135,Jon Aramburu,DF,Real Sociedad,82,77,50,89,38,83,50,50,50,50,60,100,60,100,50,50,50
136,Julian Araujo,DF,Bournemouth,82,81,50,89,40,50,50,50,50,50,60,60,60,63,50,50,50
137,Ronald Araújo,DF,Barcelona,74,68,50,89,83,53,50,50,50,50,60,60,60,56,50,50,50
138,Cameron Archer,AT,Southampton,78,80,50,86,62,56,60,50,60,50,50,54,50,56,50,50,50
139,Carlens Arcus,DF,Angers,80,75,50,88,61,92,50,50,50,50,60,98,60,100,50,50,50
140,Alphonse Areola,GK,West Ham,51,68,50,98,45,50,30,50,40,50,50,50,50,58,80,80,80
141,Adu Ares,AT,Athletic Club,84,76,50,60,50,50,60,50,60,50,50,50,50,50,50,50,50
142,Jesús Areso,DF,Osasuna,66,88,50,88,46,100,50,50,50,50,60,64,60,100,50,50,50
143,David Argüelles,MD,Getafe,77,86,50,75,50,50,50,50,50,50,50,50,50,50,50,50,50
144,Joe Aribo,MD,Southampton,73,78,50,91,69,92,50,50,50,50,50,86,50,78,50,50,50
145,Adam Armstrong,AT,Southampton,77,79,50,87,46,77,60,50,60,50,50,56,50,58,50,50,50
146,Harrison Armstrong,MD,Everton,84,79,50,75,50,53,50,50,50,50,50,50,50,51,50,50,50
147,José Arnaiz,AT,Osasuna,68,67,50,88,33,56,60,50,60,50,50,52,50,51,50,50,50
148,Hákon Arnar Haraldsson,AT,Lille,81,66,50,86,64,100,60,50,60,50,50,62,50,54,50,50,50
149,Marko Arnautović,AT,Inter,81,66,50,80,50,62,60,50,60,50,50,52,50,51,50,50,50
150,Maximilian Arnold,MD,Wolfsburg,70,94,50,90,54,100,50,50,50,50,50,76,50,100,50,50,50
151,Jann-Fiete Arp,AT,Holstein Kiel,77,68,50,65,57,80,60,50,60,50,50,54,50,57,50,50,50
152,Sergio Arribas,DF,Betis,67,68,50,95,40,50,50,50,50,50,60,60,60,54,50,50,50
153,Kepa Arrizabalaga,GK,Bournemouth,60,80,50,96,48,53,30,50,40,50,50,50,50,59,80,80,80
154,Arthur,AT,Leverkusen,92,81,50,95,37,56,60,50,60,50,50,66,50,68,50,50,50
155,Takuma Asano,AT,Mallorca,69,72,50,78,9,56,60,50,60,50,50,60,50,56,50,50,50
156,Raúl Asencio,DF,Real Madrid,75,87,50,95,70,56,50,50,50,50,60,60,60,98,50,50,50
157,Marco Asensio,AT,Aston Villa,82,82,50,88,30,62,60,50,60,50,50,52,50,51,50,50,50
158,Marco Asensio,AT,Paris S-G,74,75,50,93,73,98,60,50,60,50,50,50,50,51,50,50,50
159,Kristjan Asllani,MD,Inter,65,89,50,95,70,89,50,50,50,50,50,60,50,59,50,50,50
160,Iago Aspas,AT,Celta Vigo,92,71,50,78,70,100,60,50,60,50,50,62,50,54,50,50,50
161,Yaser Asprilla,AT,Girona,83,66,50,88,50,98,60,50,60,50,50,56,50,54,50,50,50
162,Lorenz Assignon,MD,Rennes,80,84,50,84,50,100,50,50,50,50,50,88,50,100,50,50,50
163,Dehmaine Assoumani,AT,Nantes,91,75,50,91,50,62,60,50,60,50,50,52,50,53,50,50,50
164,Valentin Atangana Edoa,MD,Reims,72,88,50,93,42,77,50,50,50,50,50,100,50,86,50,50,50
165,Arthur Atta,AT,Udinese,69,76,50,84,57,74,60,50,60,50,50,52,50,55,50,50,50
166,Noah Atubolu,GK,Freiburg,55,77,50,99,48,50,30,50,40,50,50,50,50,62,80,80,80
167,Emil Audero,GK,Como,40,62,50,100,48,50,30,50,40,50,50,50,50,54,80,80,80
168,Tommaso Augello,AT,Cagliari,92,68,50,88,43,100,60,50,60,50,50,70,50,100,50,50,50
169,Carlos Augusto,AT,Inter,92,79,50,92,46,62,60,50,60,50,50,58,50,74,50,50,50
170,Yann Aurel Bisseck,DF,Inter,75,87,50,95,72,68,50,50,50,50,60,74,60,92,50,50,50
171,Brandon Austin,GK,Tottenham,42,78,50,100,37,50,30,50,40,50,50,50,50,51,80,80,80
172,Ezequiel Ávila,AT,Betis,77,84,50,80,57,95,60,50,60,50,50,54,50,56,50,50,50
173,Taiwo Awoniyi,AT,Nott'ham Forest,73,71,50,78,50,56,60,50,60,50,50,50,50,54,50,50,50
174,Yasin Ayari,MD,Brighton,67,92,50,91,35,100,50,50,50,50,50,82,50,68,50,50,50
175,Florian Ayé,AT,Auxerre,72,84,50,80,66,53,60,50,60,50,50,58,50,56,50,50,50
176,André Ayew,AT,Le Havre,71,66,50,82,50,56,60,50,60,50,50,54,50,64,50,50,50
177,Jordan Ayew,AT,Crystal Palace,70,75,50,100,100,53,60,50,60,50,50,50,50,50,50,50,50
178,Jordan Ayew,AT,Leicester City,75,75,50,85,33,86,60,50,60,50,50,70,50,66,50,50,50
179,Neil El Aynaoui,MD,Lens,73,83,50,92,59,83,50,50,50,50,50,72,50,65,50,50,50
180,Ayman Azhil,MD,Dortmund,75,76,50,100,50,50,50,50,50,50,50,50,50,50,50,50,50
181,Adam Aznou,MD,Valladolid,75,80,50,87,57,53,50,50,50,50,50,58,50,55,50,50,50
182,Adam Aznou,DF,Bayern Munich,70,79,50,90,50,50,50,50,50,50,60,60,60,51,50,50,50
183,César Azpilicueta,DF,Atlético Madrid,72,82,50,94,47,50,50,50,50,50,60,60,60,69,50,50,50
184,Paulo Azzi,DF,Cagliari,71,70,50,78,41,65,50,50,50,50,60,60,60,61,50,50,50
185,Oussama El Azzouzi,MD,Bologna,80,78,50,100,50,50,50,50,50,50,50,54,50,50,50,50,50
186,Papa Ba,MD,Girona,71,94,50,37,50,50,50,50,50,50,50,50,50,51,50,50,50
187,Shavy Babicka,AT,Toulouse,70,70,50,78,41,86,60,50,60,50,50,54,50,54,50,50,50
188,Jacopo Bacci,MD,Empoli,78,76,50,100,50,50,50,50,50,50,50,52,50,50,50,50,50
189,Aliou Badara Baldé,AT,Bochum,90,84,50,66,50,56,60,50,60,50,50,50,50,50,50,50,50
190,Loïc Bade,DF,Sevilla,66,86,50,94,52,59,50,50,50,50,60,92,60,100,50,50,50
191,Milan Badelj,MD,Genoa,81,86,50,85,51,86,50,50,50,50,50,86,50,91,50,50,50
192,Benoît Badiashile,DF,Chelsea,68,80,50,90,75,50,50,50,50,50,60,62,60,56,50,50,50
193,Alex Baena,AT,Villarreal,80,66,50,79,50,100,60,50,60,50,50,70,50,65,50,50,50
194,Juma Bah,DF,Valladolid,58,71,50,90,42,53,50,50,50,50,60,74,60,100,50,50,50
195,Juma Bah,DF,Lens,70,77,50,86,100,50,50,50,50,50,60,60,60,62,50,50,50
196,Leon Bailey,AT,Aston Villa,84,85,50,81,47,98,60,50,60,50,50,56,50,62,50,50,50
197,Eric Bailly,DF,Villarreal,58,85,50,95,55,50,50,50,50,50,60,62,60,76,50,50,50
198,Theo Bair,AT,Auxerre,75,83,50,68,60,80,60,50,60,50,50,54,50,56,50,50,50
199,Stefan Bajcetic,MD,Las Palmas,85,90,50,81,50,59,50,50,50,50,50,62,50,61,50,50,50
200,Cédric Bakambu,AT,Betis,85,65,50,71,100,74,60,50,60,50,50,50,50,54,50,50,50
201,Mitchel Bakker,MD,Atalanta,63,94,50,66,50,50,50,50,50,50,50,50,50,50,50,50,50
202,Mitchel Bakker,AT,Lille,86,72,50,88,63,100,60,50,60,50,50,70,50,63,50,50,50
203,Darryl Bakola,DF,Marseille,70,81,50,100,100,50,50,50,50,50,60,60,60,50,50,50,50
204,Ridle Baku,AT,Wolfsburg,74,78,50,81,66,89,60,50,60,50,50,70,50,65,50,50,50
205,Ridle Baku,MD,RB Leipzig,83,84,50,87,57,59,50,50,50,50,50,56,50,83,50,50,50
206,Dilane Bakwa,AT,Strasbourg,71,70,50,83,48,100,60,50,60,50,50,68,50,74,50,50,50
207,Tommaso Baldanzi,AT,Roma,77,67,50,89,28,68,60,50,60,50,50,58,50,56,50,50,50
208,Alejandro Balde,DF,Barcelona,77,85,50,92,59,100,50,50,50,50,60,60,60,72,50,50,50
209,Keita Baldé,AT,Monza,74,72,50,90,60,53,60,50,60,50,50,52,50,50,50,50,50
210,Carlos Baleba,MD,Brighton,84,81,50,92,68,98,50,50,50,50,50,100,50,74,50,50,50
211,Leonardo Balerdi,DF,Marseille,66,82,50,97,70,74,50,50,50,50,60,100,60,100,50,50,50
212,Iván Balliu,DF,Rayo Vallecano,82,72,50,89,35,65,50,50,50,50,60,64,60,72,50,50,50
213,Fodé Ballo-Touré,DF,Le Havre,79,75,50,95,58,50,50,50,50,50,60,60,60,59,50,50,50
214,Botond Balogh,DF,Parma,58,70,50,90,72,56,50,50,50,50,60,94,60,100,50,50,50
215,Folarin Balogun,AT,Monaco,72,81,50,78,40,68,60,50,60,50,50,50,50,50,50,50,50
216,Mario Balotelli,AT,Genoa,73,75,50,20,33,50,60,50,60,50,50,50,50,51,50,50,50
217,Abdoulaye Bamba,DF,Angers,78,82,50,89,61,68,50,50,50,50,60,74,60,100,50,50,50
218,Jonathan Bamba,AT,Celta Vigo,86,71,50,86,58,86,60,50,60,50,50,60,50,56,50,50,50
219,Mohamed Bamba,MD,Reims,74,82,50,87,100,50,50,50,50,50,50,50,50,51,50,50,50
220,Samuel Bamba,AT,Bochum,73,67,50,100,50,53,60,50,60,50,50,50,50,50,50,50,50
221,Lameck Banda,AT,Lecce,87,76,50,90,40,77,60,50,60,50,50,54,50,56,50,50,50
222,Daniel Bandeira,MD,Hellas Verona,83,95,50,87,51,59,50,50,50,50,50,62,50,58,50,50,50
223,Mattia Bani,DF,Genoa,62,86,50,89,65,56,50,50,50,50,60,88,60,100,50,50,50
224,Noahkai Banks,DF,Augsburg,78,86,50,92,88,50,50,50,50,50,60,60,60,77,50,50,50
225,Scott Banks,AT,St. Pauli,84,73,50,90,33,50,60,50,60,50,50,54,50,52,50,50,50
226,Adrian Baquerin,AT,Valladolid,87,69,50,50,50,50,60,50,60,50,50,50,50,50,50,50,50
227,Antonín Barák,MD,Fiorentina,67,75,50,80,50,59,50,50,50,50,50,50,50,50,50,50,50
228,Federico Barba,DF,Como,63,79,50,92,57,50,50,50,50,50,60,60,60,65,50,50,50
229,Valentín Barco,AT,Sevilla,81,81,50,87,43,68,60,50,60,50,50,54,50,55,50,50,50
230,Valentín Barco,DF,Strasbourg,71,88,50,90,47,53,50,50,50,50,60,60,60,61,50,50,50
231,Bradley Barcola,AT,Paris S-G,87,69,50,89,60,100,60,50,60,50,50,70,50,59,50,50,50
232,Melvin Bard,MD,Nice,75,88,50,91,42,74,50,50,50,50,50,84,50,89,50,50,50
233,Nicolò Barella,MD,Inter,67,76,50,89,65,100,50,50,50,50,50,70,50,61,50,50,50
234,Gabriel Bares,MD,Montpellier,82,75,50,89,57,50,50,50,50,50,50,52,50,53,50,50,50
235,Borna Barišić,DF,Leganés,72,73,50,100,50,50,50,50,50,50,60,60,60,50,50,50,50
236,Kike Barja,AT,Osasuna,92,80,50,77,45,65,60,50,60,50,50,56,50,54,50,50,50
237,Ross Barkley,MD,Aston Villa,71,88,50,88,72,74,50,50,50,50,50,68,50,55,50,50,50
238,Aymen Barkok,MD,Mainz 05,87,77,50,82,80,53,50,50,50,50,50,54,50,50,50,50,50
239,Harvey Barnes,AT,Newcastle Utd,68,74,50,85,58,83,60,50,60,50,50,60,50,56,50,50,50
240,Enzo Barrenechea,MD,Valencia,74,85,50,89,71,80,50,50,50,50,50,84,50,80,50,50,50
241,Ander Barrenetxea,AT,Real Sociedad,84,72,50,83,69,89,60,50,60,50,50,68,50,64,50,50,50
242,Pablo Barrios,MD,Atlético Madrid,71,78,50,92,60,100,50,50,50,50,50,96,50,74,50,50,50
243,Thierno Barry,AT,Villarreal,91,68,50,64,46,98,60,50,60,50,50,50,50,61,50,50,50
244,Davide Bartesaghi,DF,Milan,77,71,50,87,66,53,50,50,50,50,60,60,60,50,50,50,50
245,Marc Bartra,DF,Betis,74,77,50,93,49,50,50,50,50,50,60,98,60,100,50,50,50
246,Federico Baschirotto,DF,Lecce,65,78,50,90,70,59,50,50,50,50,60,88,60,100,50,50,50
247,Daniele Baselli,MD,Como,79,94,50,87,50,50,50,50,50,50,50,52,50,51,50,50,50
248,Calvin Bassey,DF,Fulham,65,86,50,94,62,56,50,50,50,50,60,80,60,100,50,50,50
249,Aboubacar Bassinga,MD,Las Palmas,87,86,50,100,33,50,50,50,50,50,50,50,50,50,50,50,50
250,Alessandro Bastoni,DF,Inter,76,84,50,95,68,100,50,50,50,50,60,92,60,96,50,50,50
251,Augusto Batalla,GK,Rayo Vallecano,44,69,50,98,39,50,30,50,40,50,50,50,50,56,80,80,80
252,Michy Batshuayi,AT,Eint Frankfurt,68,78,50,92,50,53,60,50,60,50,50,52,50,50,50,50,50
253,Dylan Batubinsika,DF,Saint-Étienne,72,79,50,96,62,62,50,50,50,50,60,100,60,100,50,50,50
254,Maximilian Bauer,DF,Augsburg,79,71,50,87,55,56,50,50,50,50,60,62,60,85,50,50,50
255,Oliver Baumann,GK,Hoffenheim,57,61,50,100,43,56,30,50,40,50,50,50,50,59,80,80,80
256,Christoph Baumgartner,MD,RB Leipzig,86,80,50,78,52,92,50,50,50,50,50,72,50,67,50,50,50
